TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
tools.jackson.core.Base64Variant,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8279585925033789,1547,1228
tools.jackson.core.Base64Variant,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.802683885221132,1547,1166
tools.jackson.core.Base64Variants,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9318910256410257,119,103
tools.jackson.core.ErrorReportConfiguration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9779411764705882,206,203
tools.jackson.core.JacksonException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9162542098245404,647,593
tools.jackson.core.JsonPointer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9051163554151175,1656,1491
tools.jackson.core.StreamReadConstraints,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9752963445914764,1059,1047
tools.jackson.core.TokenStreamLocation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9368366500829188,427,402
tools.jackson.core.Version,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9518740957318543,554,534
tools.jackson.core.exc.InputCoercionException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9609375,57,47
tools.jackson.core.exc.JacksonIOException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,39,35
tools.jackson.core.exc.StreamConstraintsException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,12,12
tools.jackson.core.exc.StreamReadException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,58,55
tools.jackson.core.exc.StreamWriteException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9553571428571429,44,39
tools.jackson.core.exc.UnexpectedEndOfInputException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428571,27,25
tools.jackson.core.filter.FilteringGeneratorDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6886151877507147,2406,1371
tools.jackson.core.filter.FilteringParserDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5703548214540125,1885,650
tools.jackson.core.filter.JsonPointerBasedFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9478703703703704,162,151
tools.jackson.core.filter.TokenFilter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9322916666666666,211,172
tools.jackson.core.filter.TokenFilterContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8998042084970705,1015,865
tools.jackson.core.io.BigDecimalParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7167756094480232,329,209
tools.jackson.core.io.BigIntegerParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2779516994633273,84,11
tools.jackson.core.io.CharTypes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7937660675756323,480,301
tools.jackson.core.io.ContentReference,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8955870251555285,961,870
tools.jackson.core.io.DataOutputAsStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,43,43
tools.jackson.core.io.IOContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.926983910553586,595,535
tools.jackson.core.io.JsonStringEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7885615708511292,1111,812
tools.jackson.core.io.MergedStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9783258255225167,408,406
tools.jackson.core.io.NumberInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7488095292510539,1600,1238
tools.jackson.core.io.NumberOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7938064522836706,1312,888
tools.jackson.core.io.SegmentedStringWriter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,139,135
tools.jackson.core.io.SerializedString,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.94560907616288,559,514
tools.jackson.core.io.UTF32Reader,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9505945901582694,895,867
tools.jackson.core.io.UTF8Writer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7872726825105043,958,789
tools.jackson.core.io.schubfach.DoubleToDecimal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8822128116177028,1093,955
tools.jackson.core.io.schubfach.FloatToDecimal,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.794161505065272,1215,944
tools.jackson.core.io.schubfach.MathUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9260416666666667,173,164
tools.jackson.core.json.ByteSourceJsonBootstrapper,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8214612628438084,990,786
tools.jackson.core.json.DupDetector,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9553775743707094,143,134
tools.jackson.core.json.JsonFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8754876984831406,848,654
tools.jackson.core.json.JsonFactoryBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9282379518072289,689,502
tools.jackson.core.json.JsonReadContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9502232895180317,599,522
tools.jackson.core.json.JsonWriteContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9401832295407867,602,528
tools.jackson.core.json.ReaderBasedJsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4078867518994451,5809,1300
tools.jackson.core.json.UTF8DataInputJsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.19838617587871582,5144,337
tools.jackson.core.json.UTF8DataInputWithDocLengthJsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8970588235294118,52,38
tools.jackson.core.json.UTF8JsonGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.469781195364298,3859,1110
tools.jackson.core.json.UTF8StreamJsonParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3490366017384973,7803,1118
tools.jackson.core.json.WriterBasedJsonGenerator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5788388026578817,3374,1442
tools.jackson.core.sym.BinaryNameMatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7130387701301737,1945,1166
tools.jackson.core.sym.ByteQuadsCanonicalizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6316411093443254,2385,1023
tools.jackson.core.sym.CharsToNameCanonicalizer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6925943601320506,1260,715
tools.jackson.core.sym.SimpleNameMatcher,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9354166666666667,388,365
tools.jackson.core.type.WritableTypeId,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,51,51
tools.jackson.core.util.BufferRecycler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9149843126905934,469,452
tools.jackson.core.util.BufferRecyclers,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
tools.jackson.core.util.ByteArrayBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9620238815562002,976,950
tools.jackson.core.util.DefaultIndenter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9415266106442577,144,138
tools.jackson.core.util.DefaultPrettyPrinter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.924170653907496,474,468
tools.jackson.core.util.InternCache,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.734375,70,44
